Year,Inventories,Sales
1981,546,345
1982,574,344
1983,590,396
1984,650,417
1985,664,428
1986,663,445
1987,710,473
1988,767,522
1989,815,533
1990,841,542
1991,835,542
1992,843,585
1993,870,609
1994,935,672
1995,996,701
1996,1014,730
1997,1062,769
1998,1100,797
1999,1151,872
