Year,Imports,GDP
1980,585.6,19603.6
1981,584.2,20083.7
1982,537.4,19677.5
1983,547.8,20529.4
1984,663.3,22020.5
1985,656.4,22868.1
1986,703.8,23649.6
1987,766.1,24453
1988,827.3,25473.2
1989,866.2,26367.3
1990,877.3,26831.6
1991,819.2,26705.7
1992,829.6,27520.4
1993,873.8,28250.6
1994,988.4,29390.9
1995,1102.9,30175.3
1996,1159,31252.5
1997,1269.2,32638
1998,1321.9,34062.6
1999,1446.5,35503.1
